TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
msdb,dbo,syspolicy_execution_internal,synchronous,2,,YES,bit,,,,,,,,,,,,,,,
msdb,dbo,sysutility_ucp_instances,TapeLoadWaitTime,58,,YES,int,,,10,10,0,,,,,,,,,,
msdb,dbo,sysutility_ucp_smo_servers_stub,TapeLoadWaitTime,58,,YES,int,,,10,10,0,,,,,,,,,,
msdb,dbo,syscollector_collection_sets,target,4,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syscollector_collection_sets_internal,target,6,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syspolicy_policy_category_subscriptions,target_object,3,,NO,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syspolicy_policy_category_subscriptions_internal,target_object,3,,NO,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysutility_ucp_policy_violations_internal,target_query_expression,6,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysutility_ucp_policy_violations,target_query_expression,6,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syspolicy_system_health_state,target_query_expression,5,,NO,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syspolicy_policy_execution_history_details,target_query_expression,3,,NO,nvarchar,4000,8000,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syspolicy_policy_execution_history_details_internal,target_query_expression,3,,NO,nvarchar,4000,8000,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syspolicy_system_health_state_internal,target_query_expression,5,,NO,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syspolicy_system_health_state_internal,target_query_expression_with_id,4,,NO,nvarchar,400,800,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syspolicy_policy_execution_history_details_internal,target_query_expression_with_id,4,,NO,nvarchar,4000,8000,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syspolicy_system_health_state,target_query_expression_with_id,4,,NO,nvarchar,400,800,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysutility_ucp_policy_violations,target_query_expression_with_id,7,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysutility_ucp_policy_violations_internal,target_query_expression_with_id,7,,YES,nvarchar,-1,-1,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,sysdownloadlist,target_server,6,,NO,nvarchar,128,256,,,,,,,UNICODE,,,SQL_Latin1_General_CP1_CI_AS,,,
msdb,dbo,syspolicy_target_set_levels_internal,target_set_id,2,,NO,int,,,10,10,0,,,,,,,,,,
